# Function Pointer Table @ 0x08044E74
# idx | slot | raw | thumb_target | function_at | function_containing
0 | 08044e74 | 0x0800FD39 | 0800fd38 |  | 
1 | 08044e78 | 0x0800FE9D | 0800fe9c |  | 
2 | 08044e7c | 0x080104ED | 080104ec |  | 
3 | 08044e80 | 0x08010D71 | 08010d70 |  | 
4 | 08044e84 | 0x08011B75 | 08011b74 |  | 
5 | 08044e88 | 0x08012245 | 08012244 |  | 
6 | 08044e8c | 0x08012345 | 08012344 |  | 
7 | 08044e90 | 0x08012479 | 08012478 |  | 
8 | 08044e94 | 0x08012779 | 08012778 |  | 
9 | 08044e98 | 0x08012845 | 08012844 |  | 
10 | 08044e9c | 0x0800FEF1 | 0800fef0 |  | 
11 | 08044ea0 | 0x0800FFB9 | 0800ffb8 |  | 
12 | 08044ea4 | 0x08010015 | 08010014 |  | 
13 | 08044ea8 | 0x08010159 | 08010158 |  | 
14 | 08044eac | 0x080101AD | 080101ac |  | 
15 | 08044eb0 | 0x08010201 | 08010200 |  | 
16 | 08044eb4 | 0x0801025D | 0801025c |  | 
17 | 08044eb8 | 0x080102B9 | 080102b8 |  | 
18 | 08044ebc | 0x08010315 | 08010314 |  | 
19 | 08044ec0 | 0x080103F5 | 080103f4 |  | 
20 | 08044ec4 | 0x08010585 | 08010584 |  | 
21 | 08044ec8 | 0x0801067D | 0801067c |  | 
22 | 08044ecc | 0x080106E9 | 080106e8 |  | 
23 | 08044ed0 | 0x080107C9 | 080107c8 |  | 
24 | 08044ed4 | 0x080108C1 | 080108c0 |  | 
25 | 08044ed8 | 0x08010925 | 08010924 |  | 
26 | 08044edc | 0x08010A1D | 08010a1c |  | 
27 | 08044ee0 | 0x08010A95 | 08010a94 |  | 
28 | 08044ee4 | 0x08010B81 | 08010b80 |  | 
29 | 08044ee8 | 0x08010C79 | 08010c78 |  | 
30 | 08044eec | 0x08010E71 | 08010e70 |  | 
31 | 08044ef0 | 0x08010F69 | 08010f68 |  | 
32 | 08044ef4 | 0x08011049 | 08011048 |  | 
33 | 08044ef8 | 0x08011141 | 08011140 |  | 
34 | 08044efc | 0x08011239 | 08011238 |  | 
35 | 08044f00 | 0x080114C5 | 080114c4 |  | 
36 | 08044f04 | 0x08011661 | 08011660 |  | 
37 | 08044f08 | 0x080116ED | 080116ec |  | 
38 | 08044f0c | 0x080117CD | 080117cc |  | 
39 | 08044f10 | 0x08011829 | 08011828 |  | 
40 | 08044f14 | 0x08011C11 | 08011c10 |  | 
41 | 08044f18 | 0x08011D09 | 08011d08 |  | 
42 | 08044f1c | 0x08011DFD | 08011dfc |  | 
43 | 08044f20 | 0x08011E85 | 08011e84 |  | 
44 | 08044f24 | 0x0801215D | 0801215c |  | 
45 | 08044f28 | 0x080BBAA0 | 080bbaa0 |  | 
46 | 08044f2c | 0x080BBA4C | 080bba4c |  | 
47 | 08044f30 | 0x080BB9F8 | 080bb9f8 |  | 
