# Function Pointer Table @ 0x0804BE74
# idx | slot | raw | thumb_target | function_at | function_containing
0 | 0804be74 | 0x00000000 | 00000000 |  | 
1 | 0804be78 | 0x00400000 | 00400000 |  | 
2 | 0804be7c | 0x00000000 | 00000000 |  | 
3 | 0804be80 | 0x00000400 | 00000400 |  | 
4 | 0804be84 | 0x00000000 | 00000000 |  | 
5 | 0804be88 | 0x00008000 | 00008000 |  | 
6 | 0804be8c | 0x00000000 | 00000000 |  | 
7 | 0804be90 | 0x00000000 | 00000000 |  | 
8 | 0804be94 | 0x00000000 | 00000000 |  | 
9 | 0804be98 | 0x00000000 | 00000000 |  | 
10 | 0804be9c | 0x00000000 | 00000000 |  | 
11 | 0804bea0 | 0x00000000 | 00000000 |  | 
12 | 0804bea4 | 0x00000000 | 00000000 |  | 
13 | 0804bea8 | 0x00000000 | 00000000 |  | 
14 | 0804beac | 0x00000000 | 00000000 |  | 
15 | 0804beb0 | 0x00000000 | 00000000 |  | 
16 | 0804beb4 | 0x00000000 | 00000000 |  | 
17 | 0804beb8 | 0x00000000 | 00000000 |  | 
18 | 0804bebc | 0x00000000 | 00000000 |  | 
19 | 0804bec0 | 0x00000000 | 00000000 |  | 
20 | 0804bec4 | 0x00000000 | 00000000 |  | 
21 | 0804bec8 | 0x00000000 | 00000000 |  | 
22 | 0804becc | 0x00000000 | 00000000 |  | 
23 | 0804bed0 | 0x00000000 | 00000000 |  | 
24 | 0804bed4 | 0xFF35A900 | ff35a900 |  | 
25 | 0804bed8 | 0xFFFFFFFF | fffffffe |  | 
26 | 0804bedc | 0x000000FF | 000000fe |  | 
27 | 0804bee0 | 0x80010002 | 80010002 |  | 
28 | 0804bee4 | 0x00000040 | 00000040 |  | 
29 | 0804bee8 | 0x00000000 | 00000000 |  | 
30 | 0804beec | 0x00000000 | 00000000 |  | 
31 | 0804bef0 | 0x00000000 | 00000000 |  | 
32 | 0804bef4 | 0x00000000 | 00000000 |  | 
33 | 0804bef8 | 0x00000000 | 00000000 |  | 
34 | 0804befc | 0x00000000 | 00000000 |  | 
35 | 0804bf00 | 0x00000000 | 00000000 |  | 
36 | 0804bf04 | 0x00000000 | 00000000 |  | 
37 | 0804bf08 | 0x00000000 | 00000000 |  | 
38 | 0804bf0c | 0x00000000 | 00000000 |  | 
39 | 0804bf10 | 0x00000000 | 00000000 |  | 
40 | 0804bf14 | 0x00000000 | 00000000 |  | 
41 | 0804bf18 | 0x00000000 | 00000000 |  | 
42 | 0804bf1c | 0x00000000 | 00000000 |  | 
43 | 0804bf20 | 0x00000000 | 00000000 |  | 
44 | 0804bf24 | 0x00000000 | 00000000 |  | 
45 | 0804bf28 | 0x00000000 | 00000000 |  | 
46 | 0804bf2c | 0x00000000 | 00000000 |  | 
47 | 0804bf30 | 0x00000000 | 00000000 |  | 
