tb 0x12 tri 1 Hz  record span 40..132 -> level -34 (code 86)  readback: ['fpga scope level']
  LATE  edge+fill+330  v[0]= 76 v[1023]=  1  full: trig@  685 (rms 18.7)  1st half: trig@ 1848 (rms  3.2)  2nd half: trig@  679 (rms 25.4)   [period 2495 samples: 0=post, 1024=pre-roll, 2023=189ms-late]
  LATE  edge+fill+330  v[0]= 13 v[1023]= 13  full: trig@  298 (rms 23.7)  1st half: trig@  212 (rms 26.7)  2nd half: trig@  518 (rms  0.6)   [period 2495 samples: 0=post, 1024=pre-roll, 2023=189ms-late]
  LATE  edge+fill+330  v[0]= 88 v[1023]= 75  full: trig@  324 (rms 18.9)  1st half: trig@   30 (rms 17.5)  2nd half: trig@  162 (rms  0.7)   [period 2495 samples: 0=post, 1024=pre-roll, 2023=189ms-late]
  LATE  edge+fill+330  v[0]= 76 v[1023]=128  full: trig@  335 (rms  9.7)  1st half: trig@ 2316 (rms 11.2)  2nd half: trig@  680 (rms  0.7)   [period 2495 samples: 0=post, 1024=pre-roll, 2023=189ms-late]
  LATE  edge+fill+330  v[0]= 64 v[1023]= 65  full: trig@  160 (rms 27.2)  1st half: trig@  151 (rms 26.9)  2nd half: trig@ 1129 (rms  0.7)   [period 2495 samples: 0=post, 1024=pre-roll, 2023=189ms-late]
  LATE  edge+fill+230  v[0]= 87 v[1023]= 88  full: trig@  913 (rms 23.5)  1st half: trig@   15 (rms  0.7)  2nd half: trig@  827 (rms 28.6)   [period 2495 samples: 0=post, 1024=pre-roll, 2023=189ms-late]
  LATE  edge+fill+230  v[0]= 85 v[1023]=  0  full: trig@  277 (rms 16.0)  1st half: trig@  268 (rms 18.5)  2nd half: trig@ 2421 (rms  2.7)   [period 2495 samples: 0=post, 1024=pre-roll, 2023=189ms-late]
  LATE  edge+fill+230  v[0]=116 v[1023]= 65  full: trig@  133 (rms  6.9)  1st half: trig@  151 (rms  8.3)  2nd half: trig@  850 (rms  0.7)   [period 2495 samples: 0=post, 1024=pre-roll, 2023=189ms-late]
  LATE  edge+fill+230  v[0]=109 v[1023]=  3  full: trig@  885 (rms 20.0)  1st half: trig@  690 (rms  4.5)  2nd half: trig@  668 (rms 26.5)   [period 2495 samples: 0=post, 1024=pre-roll, 2023=189ms-late]
  LATE  edge+fill+230  v[0]= 15 v[1023]= 41  full: trig@   96 (rms 17.9)  1st half: trig@  130 (rms 19.0)  2nd half: trig@  661 (rms  0.7)   [period 2495 samples: 0=post, 1024=pre-roll, 2023=189ms-late]
  EARLY edge+100       v[0]= 96 v[1023]= 96  full: trig@   31 (rms 23.6)  1st half: trig@  597 (rms 26.4)  2nd half: trig@  946 (rms  0.7)   [period 2495 samples: 0=post, 1024=pre-roll, 2023=189ms-late]
  EARLY edge+100       v[0]=  2 v[1023]=  2  full: trig@  889 (rms 19.5)  1st half: trig@ 1807 (rms  0.7)  2nd half: trig@  673 (rms 26.3)   [period 2495 samples: 0=post, 1024=pre-roll, 2023=189ms-late]
  EARLY edge+100       v[0]=118 v[1023]=117  full: trig@ 1974 (rms 11.8)  1st half: trig@ 2019 (rms 16.6)  2nd half: trig@  269 (rms  0.7)   [period 2495 samples: 0=post, 1024=pre-roll, 2023=189ms-late]
  EARLY edge+100       v[0]= 12 v[1023]= 13  full: trig@  545 (rms 23.6)  1st half: trig@  508 (rms  0.7)  2nd half: trig@  612 (rms 26.7)   [period 2495 samples: 0=post, 1024=pre-roll, 2023=189ms-late]
  EARLY edge+100       v[0]= 14 v[1023]= 13  full: trig@  310 (rms 23.7)  1st half: trig@  221 (rms 26.5)  2nd half: trig@  429 (rms  0.7)   [period 2495 samples: 0=post, 1024=pre-roll, 2023=189ms-late]
tb 0x10 tri 4 Hz  record span 52..132 -> level -29 (code 92)  readback: ['fpga scope level']
  LATE  edge+fill+330  v[0]=112 v[1023]= 17  full: trig@  761 (rms 14.6)  1st half: trig@ 2412 (rms  4.1)  2nd half: trig@  893 (rms 19.7)   [period 3122 samples: 0=post, 1024=pre-roll, 762=189ms-late]
  LATE  edge+fill+330  v[0]= 96 v[1023]= 76  full: trig@ 3034 (rms 20.5)  1st half: trig@ 2961 (rms  1.1)  2nd half: trig@  735 (rms 21.9)   [period 3122 samples: 0=post, 1024=pre-roll, 762=189ms-late]
  LATE  edge+fill+330  v[0]= 21 v[1023]= 40  full: trig@  443 (rms 19.0)  1st half: trig@  509 (rms  1.1)  2nd half: trig@  616 (rms 22.5)   [period 3122 samples: 0=post, 1024=pre-roll, 762=189ms-late]
  LATE  edge+fill+330  v[0]= 74 v[1023]= 98  full: trig@ 3041 (rms 19.1)  1st half: trig@  585 (rms 21.4)  2nd half: trig@   63 (rms  0.7)   [period 3122 samples: 0=post, 1024=pre-roll, 762=189ms-late]
  LATE  edge+fill+330  v[0]= 66 v[1023]= 92  full: trig@   81 (rms 19.1)  1st half: trig@   17 (rms  1.2)  2nd half: trig@  912 (rms 22.5)   [period 3122 samples: 0=post, 1024=pre-roll, 762=189ms-late]
  LATE  edge+fill+230  v[0]= 76 v[1023]=104  full: trig@  151 (rms 18.2)  1st half: trig@ 3032 (rms  1.3)  2nd half: trig@ 1033 (rms 22.4)   [period 3122 samples: 0=post, 1024=pre-roll, 762=189ms-late]
  LATE  edge+fill+230  v[0]= 92 v[1023]= 86  full: trig@   48 (rms 19.0)  1st half: trig@ 3078 (rms  0.7)  2nd half: trig@  855 (rms 23.2)   [period 3122 samples: 0=post, 1024=pre-roll, 762=189ms-late]
  LATE  edge+fill+230  v[0]=110 v[1023]= 70  full: trig@  912 (rms 22.0)  1st half: trig@ 2905 (rms  1.9)  2nd half: trig@  679 (rms 21.9)   [period 3122 samples: 0=post, 1024=pre-roll, 762=189ms-late]
  LATE  edge+fill+230  v[0]= 20 v[1023]=129  full: trig@  463 (rms  4.1)  1st half: trig@  468 (rms  4.9)  2nd half: trig@  394 (rms  0.7)   [period 3122 samples: 0=post, 1024=pre-roll, 762=189ms-late]
  LATE  edge+fill+230  v[0]= 40 v[1023]= 38  full: trig@  452 (rms 19.0)  1st half: trig@  553 (rms  0.6)  2nd half: trig@  626 (rms 23.3)   [period 3122 samples: 0=post, 1024=pre-roll, 762=189ms-late]
  EARLY edge+100       v[0]= 72 v[1023]= 71  full: trig@  101 (rms 20.9)  1st half: trig@  296 (rms 22.1)  2nd half: trig@ 1022 (rms  0.7)   [period 3122 samples: 0=post, 1024=pre-roll, 762=189ms-late]
  EARLY edge+100       v[0]= 66 v[1023]= 67  full: trig@   86 (rms 22.1)  1st half: trig@  196 (rms 21.3)  2nd half: trig@ 1017 (rms  0.7)   [period 3122 samples: 0=post, 1024=pre-roll, 762=189ms-late]
  EARLY edge+100       v[0]= 66 v[1023]= 65  full: trig@   80 (rms 22.4)  1st half: trig@  377 (rms 19.7)  2nd half: trig@ 1020 (rms  0.6)   [period 3122 samples: 0=post, 1024=pre-roll, 762=189ms-late]
  EARLY edge+100       v[0]=112 v[1023]=112  full: trig@  209 (rms 10.4)  1st half: trig@  207 (rms  0.7)  2nd half: trig@  264 (rms 14.6)   [period 3122 samples: 0=post, 1024=pre-roll, 762=189ms-late]
  EARLY edge+100       v[0]= 16 v[1023]= 15  full: trig@   52 (rms 11.4)  1st half: trig@   57 (rms 16.0)  2nd half: trig@ 1801 (rms  0.7)   [period 3122 samples: 0=post, 1024=pre-roll, 762=189ms-late]
done
